customerID,Name,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_rate,Churn Score,CLTV,Churn Reason,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Age,Under 30,Married,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Streaming Music,Premium Tech Support,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Score.1,Churn Category
3668-QPYBK,Nabin Sapkota,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,eSewa,1615.5,3244.5,Yes,1,86,3239,Competitor made better offer,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,37,No,No,No,0,None,314.1,21,No,No,Yes,0.0,0,628.2,3872.7000000000003,1,Churned,86,Competitor
9237-HQITU,Deepika Danwar,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2121.0,4549.5,Yes,1,67,2701,Moved,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,19,Yes,No,No,0,None,273.59999999999997,51,No,No,Yes,0.0,0,547.1999999999999,5096.7,2,Churned,67,Other
9305-CDSKC,Swati Baral,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,2989.5,24615.0,Yes,1,86,5372,Moved,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,31,No,No,No,0,None,364.5,26,Yes,No,Yes,0.0,0,2916.0,27531.0,3,Churned,86,Other
7892-POOKP,Kalpita Subba,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Cash,3144.0,91381.5,Yes,1,84,5003,Moved,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,23,Yes,Yes,No,0,Offer C,146.7,47,Yes,Yes,Yes,0.0,0,4107.599999999999,95489.1,3,Churned,84,Other
0280-XJGEX,Tulsi Duwadi,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mobile Banking,3111.0,151089.0,Yes,1,89,5340,Competitor had better devices,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,38,No,No,No,0,None,1329.8999999999999,11,Yes,No,Yes,0.0,0,65165.100000000006,216254.1,1,Churned,89,Competitor
4190-MFLUW,Medhavi Magar,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),1656.0,15850.5,Yes,1,78,5925,Competitor offered higher download speeds,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,21,Yes,Yes,Yes,6,None,282.3,69,No,Yes,Yes,0.0,0,2823.0,18673.5,1,Churned,78,Competitor
8779-QRDMV,Kanak Pokhrel,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Cash,1189.5,1189.5,Yes,1,100,5433,Competitor offered more data,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,78,No,No,No,0,None,0.0,8,No,No,No,0.0,600,0.0,1789.5,3,Churned,91,Competitor
1066-JKSGK,Hina Paneru,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,eSewa,604.5,604.5,Yes,1,92,4832,Competitor made better offer,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,29,Yes,No,No,0,None,1007.4,0,No,No,No,0.0,0,1007.4,1611.8999999999999,1,Churned,92,Competitor
6467-CHFZW,Dharma Sherpa,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Cash,2980.5,142474.5,Yes,1,77,5789,Competitor had better devices,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,61,No,Yes,Yes,1,None,940.5,16,Yes,No,Yes,0.0,0,44203.5,186677.99999999997,1,Churned,77,Competitor
8665-UTDHZ,Mani Mali,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Cash,906.0,906.0,Yes,1,97,2915,Competitor had better devices,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,27,Yes,Yes,Yes,1,None,0.0,58,No,No,Yes,0.0,0,0.0,906.0,1,Churned,90,Competitor
